Timestamp,Department:,Authorized Use: Select All that Apply,Summary Description of Flight,Drone Make & Model:,FAA Provided Drone Registration Number:,Street Address (Area Surveyed):,FAA provided commercial pilot certificate number:,Location (Area Surveyed):,Start Date:,Start Time:,End Date:,End Time:,Type of Data Collected:,Privacy Risks -- Summary of privacy risks associated with this flight:,Privacy Risk Mitigation -- Action taken to mitigate privacy risks:
2020/11/06 1:33:19 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Highland Village Park,DJI Mavic 2,FA39YEE7AK,"950 S Harvey Drive, Bloomington, Indiana 47403",4364237,Highland Village Park,11/06/2020 12:00:00 AM,14:30,03/06/2020 12:00:00 AM,15:30,Video,PII,No PII will be collected
2020/11/06 1:35:14 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Upper Cascades Park,DJI Mavic 2,FA39YEE7AK,"2602 N Kinser Pike, Bloomington, Indiana 47404",4364237,Upper Cascades Skatepark,11/06/2020 12:00:00 AM,15:30,11/06/2020 12:00:00 AM,16:30,Video,PII,No PII will be collected
2021/06/11 3:47:31 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of Food Truck Friday at Switchyard Park,DJI Mavic 2,FA39YEE7AK,"1601 S Rogers Street, Bloomington, IN 47401",4364237,Switchyard Park,06/04/2021 12:00:00 AM,17:00,06/04/2021 12:00:00 AM,19:00,Video,PII,No PII will be collected
2021/06/18 5:05:01 PM AST,ITS Information & Technology Services,"Mapping: Digital elevation models, land use maps, 3D models, contours.",Verification of sidewalk locations in Switchyard Park,DJI Mavic 2,FA39YEE7AK,"1601 S Rogers Street, Bloomington, IN 47401",4364237,Switchyard Park,06/17/2021 12:00:00 AM,15:00,06/17/2021 12:00:00 AM,16:00,Video,PII,No PII will be collected
2021/06/18 5:06:44 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video footage of Foodtruck Friday,DJI Mavic 2,FA39YEE7AK,"1601 S Rogers Street, Bloomington, IN 47401",4364237,Switchyard Park,06/18/2021 12:00:00 AM,17:30,06/18/2021 12:00:00 AM,19:00,Video,PII,PII will not be collected
2021/07/01 12:24:25 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Promotional video footage and photos of Switchyard Park,DJI Mavic 2,FA39YEE7AK,"1601 S Rogers Street, Bloomington, IN 47403",4364237,Switchyard Park,07/01/2021 12:00:00 AM,09:00,07/01/2021 12:00:00 AM,11:00,Images;Video,PII,No PII will be collected and maintained
2021/07/01 12:26:13 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video footage and still images of Switchyard Park,DJI Mavic 2,FA39YEE7AK,"1601 S Rogers St, Bloomington, IN 47403",4364237,Switchyard Park,06/29/2021 12:00:00 AM,09:00,06/29/2021 12:00:00 AM,11:00,Images;Video,PII,PII will not be collected and maintained
2021/10/25 2:16:21 PM AST,ITS Information & Technology Services,Marketing: Capture video and still photographs.,Video Footage of the Monroe Water Treatment Plant,DJI Mavic 2,FA39YEE7AK,"7470 S Shields Ridge Rd, Bloomington, IN 47401",4364237,Monroe Water Treatment Plant,10/26/2021 12:00:00 AM,13:00,10/26/2021 12:00:00 AM,17:00,Images;Video,PII,No PI will be collected
2022/02/10 2:22:08 PM AST,Utilities,Marketing: Capture video and still photographs.,Aerial footage of Winston Thomas site,DJI Mavic 2,FA39YEE7AK,315 W Gordon Pike,4599486,Winston Thomas site,02/10/2022 12:00:00 AM,10:00,02/10/2022 12:00:00 AM,10:30,Video,No Privacy Risk,No Privacy Risk
2022/02/10 2:25:36 PM AST,Utilities,Marketing: Capture video and still photographs.,Aerial footage of Dillman Wastewater Treatment Plant,DJI Mavic 2,FA39YEE7AK,100 W Dillman Rd.,4599486,Dillman Wastewater Treatment Plant,02/10/2022 12:00:00 AM,11:00,02/10/2022 12:00:00 AM,12:00,Video,No Privacy Risk,No Privacy Risk
